id,shorthand,title,artist,side,bpm
0,sayonarahatsukoi,"Sayonara Hatsukoi",REDSHiFT,light,178
1,lostcivilization,"Lost Civilization","Laur vs CK",conflict,"75 - 210"
2,goodtek,"GOODTEK (Arcaea Edit)",EBIMAYO,light,190
3,viyella,"cry of viyella",Laur,conflict,"75 - 180"
4,rise,Rise,Combatplayer,light,140
5,lucifer,Lucifer,chitose,conflict,165
6,fairytale,Fairytale,chitose,light,189
7,hearditsaid,"I've heard it said",Combatplayer,light,165
8,babaroque,Babaroque,cYsmix,light,136
9,memoryfactory,memoryfactory.lzh,Frums,light,100
10,snowwhite,"Snow White",Puru,light,150
11,relentless,Relentless,"Akira Complex",conflict,174
12,shadesoflight,"Shades of Light in a Transcendent Realm",ak+q,light,170
13,vexaria,Vexaria,ak+q,light,180
14,essenceoftwilight,"Essence of Twilight",ak+q,conflict,164
15,qualia,"qualia -ideaesthesia-",nitro,conflict,144
16,pragmatism,PRAGMATISM,Laur,light,174
17,sheriruth,Sheriruth,"Team Grimoire",conflict,185
18,lumia,Lumia,sky_delta,light,180
19,dement,"Dement ~after legend~",Cosmograph,conflict,210
20,dandelion,Dandelion,Farhan,light,169
21,anokumene,"Anökumene","Jun Kuroda",conflict,186
22,infinityheaven,"Infinity Heaven",HyuN,light,160
23,partyvinyl,"Party Vinyl","モリモリあつし",light,132
24,flashback,Flashback,ARForest,light,195
25,flyburg,"Flyburg and Endroll","アリスシャッハと魔法の楽団",light,180
26,nirvluce,"Nirv lucE","しーけー",light,260
27,paradise,Paradise,"Sound Souler",light,126
28,brandnewworld,"Brand new world",U-ske,light,160
29,dataerror,DataErr0r,Cosmograph,conflict,180
30,crosssoul,"CROSS†SOUL","HyuN feat. Syepias",conflict,200
31,yourvoiceso,"Your voice so... feat. Such",PSYQUI,light,176
32,chronostasis,Chronostasis,"黒皇帝",conflict,196
33,kanagawa,"Kanagawa Cyber Culvert","南ゆに",light,180
34,moonlightofsandcastle,"Moonlight of Sand Castle","旅人E",light,160
35,reconstruction,REconstruction,Ryazan,light,180
36,evoltex,"Evoltex (poppi'n mix)","Arch vs n3pu",light,205
37,oracle,Oracle,"TQ☆",conflict,152
38,aterlbus,"αterlβus",Aoi,conflict,202
39,clotho,"Clotho and the stargazer","しーけー",light,230
40,impurebird,"Impure Bird",MIssionary,light,184
41,ignotus,Ignotus,ak+q,conflict,170
42,lethaeus,Lethaeus,Silentroom,conflict,155
43,romancewars,"Romance Wars","U-ske (feat. lueur)",light,187
44,blossoms,Blossoms,T2Kazuya,light,138
