Name,Difficulty,Artist,Shorthand
Kanjou no Matenrou ～Arr.Demetori,,,matenrou
nέo κósmo,,,neo kosmo
Genesis,,Morrigan feat. Lily,genesischunithm
The Survivor (Game Edit),,,thesurvivor
Haze of Autumn,,,akinokagerou
Bamboo,,,take
10pt8ion,,,tempationgc
HIVEMIND INTERLINKED,,,hivemindrmx
Kanbu de Tomatte Sugu Tokeru,,,overdrive
1F√,,,onefr
[X],,,infinity
0xe0e1ccull,,,ifirmx
Last | Moment,,,last
Last | Eternity,,,lasteternity
Lost Emotion feat. nomico,,,lostemotion
µ,,,mu
I've heard it said,,,hearditsaid
Quon,,DJ Noriken,quonwacca
B.B.K.K.B.K.K.,,,bbkkbkk
World Fragments III(radio edit),,,worldfragments
#1f1e33,,,ifi
On And On!! feat. Jenga,,,onandon
Misdeed -la bonté de Dieu et l'origine du mal-,,,gou
Hidden Rainbows of Epicurus,,,epicurus
G e n g a o z o,,,gengaozo
A Wandering Melody of Love,,,melodyoflove
Let's Rock (Arcaea mix),,,letsrock
LunarOrbit -believe in the Espebranch road-,,,espebranch
Can I Friend You on Bassbook? Lol,,,bassline
Sheriruth (Laur Remix),,,sheriruthrm
ω4,,,omegafour
〇、,,,ichirin
Let you DIVE! (nitro rmx),,,letyoudivermx
99 Glooms,,,nnglooms
͟͝͞Ⅱ́̕,,,ii
Redraw the Colorless World,,,mukinshitsu
Ävril -Flicka i krans-,,,avril
7thSense,,,seventhsense
LIVHT MY WΔY,,,lightmyway
False Embellishment,,,kyogenkigo
Illegal Paradise,,,darakunosono
cry of viyella,,,viyella
"Good bye, Merry-Go-Round.",,,goodbyemerry
ΟΔΥΣΣΕΙΑ,,,odysseia
Mistempered Malignance,,,mismal
Twilight Concerto,,,tasogare
Heart,,,kokoro
Dancin' on a Cat's Paw,,,nekonote
Bookmaker (2D Version),,,bookmaker
Dement ~after legend~,,,dement
Einherjar Joker,,,einherjar
GOODTEK (Arcaea Edit),,,goodtek
Kanagawa Cyber Culvert,,,kanagawa
La'qryma of the Wasteland,,,laqryma
PRAGMATISM -RESURRECTION-,,,pragmatism
qualia -ideaesthesia-,,,qualia
Shades of Light in a Transcendent Realm,,,shadesoflight
trappola bewitching,,,trappola
Vicious [ANTi] Heroism,,,viciousheroism
eden,,,edenwacca
